position,title,year,duration,age_rating,imdb_rating,votes,metascore,plot,href,cover,cover_alt
11255, Crook: It's Good to Be Bad,No Year,No Duration,No Age Rating,"5,1"," (2,3 mil)",No Metascore,Corrupt police and racially motivated attacks against Indian students complicate a re-located crook's life in Australia.,https://www.imdb.com//title/tt1753640/?ref_=sr_t_11255,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BNTEyZDcwZDQtMGEwYy00ODViLWExNGEtYmQzNGNjN2E1ZDgzXkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BNTEyZDcwZDQtMGEwYy00ODViLWExNGEtYmQzNGNjN2E1ZDgzXkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BNTEyZDcwZDQtMGEwYy00ODViLWExNGEtYmQzNGNjN2E1ZDgzXkEyXkFqcGc@._V1_QL75_UY311_CR3,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BNTEyZDcwZDQtMGEwYy00ODViLWExNGEtYmQzNGNjN2E1ZDgzXkEyXkFqcGc@._V1_QL75_UY414_CR5,0,280,414_.jpg 280w"
11256, Kalabha Kadhalan,No Year,No Duration,No Age Rating,"5,1", (112),No Metascore,A sister in law (Akshaya) falls in love with her brother in law Akhilan (Arya). But he refuses her because he adores his wife (Renuka Menon) and he never would cheat on her. He hides all facts to his wife in order to protect her. Finally the sister in law commits suicide after a tragedy that becomes the climax of the film.,https://www.imdb.com//title/tt2325785/?ref_=sr_t_11256,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BZjk0MWY4MGMtMzMzNC00NDMzLThlOTEtZTM4MDhmNTNiMzMzXkEyXkFqcGc@._V1_QL75_UY207_CR7,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BZjk0MWY4MGMtMzMzNC00NDMzLThlOTEtZTM4MDhmNTNiMzMzXkEyXkFqcGc@._V1_QL75_UY207_CR7,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BZjk0MWY4MGMtMzMzNC00NDMzLThlOTEtZTM4MDhmNTNiMzMzXkEyXkFqcGc@._V1_QL75_UY311_CR10,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BZjk0MWY4MGMtMzMzNC00NDMzLThlOTEtZTM4MDhmNTNiMzMzXkEyXkFqcGc@._V1_QL75_UY414_CR13,0,280,414_.jpg 280w"
11257, Kasethan Kadavulada,No Year,No Duration,No Age Rating,"5,1", (375),No Metascore,"A young man, his cousin and a friend stealing money from his stingy stepmother.",https://www.imdb.com//title/tt15163896/?ref_=sr_t_11257,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BODEzYTRmN2ItOTY1Zi00NGUxLTkzNjktOGEyNzRmZmMzNTYzXkEyXkFqcGc@._V1_QL75_UY207_CR137,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BODEzYTRmN2ItOTY1Zi00NGUxLTkzNjktOGEyNzRmZmMzNTYzXkEyXkFqcGc@._V1_QL75_UY207_CR137,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BODEzYTRmN2ItOTY1Zi00NGUxLTkzNjktOGEyNzRmZmMzNTYzXkEyXkFqcGc@._V1_QL75_UY311_CR205,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BODEzYTRmN2ItOTY1Zi00NGUxLTkzNjktOGEyNzRmZmMzNTYzXkEyXkFqcGc@._V1_QL75_UY414_CR273,0,280,414_.jpg 280w"
11258, 1st Rank Raju,No Year,No Duration,No Age Rating,"5,1", (175),No Metascore,"A studious and obedient youngster follows his father's advice and memories all his study material to achieve the first rank in his academic career, but will he be equipped to succeed in the real world as well?",https://www.imdb.com//title/tt10540150/?ref_=sr_t_11258,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BZDI3MjZhMmEtNWU4Ny00ZGQwLThiNWEtODhiODg2NmY3NWVhXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BZDI3MjZhMmEtNWU4Ny00ZGQwLThiNWEtODhiODg2NmY3NWVhXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BZDI3MjZhMmEtNWU4Ny00ZGQwLThiNWEtODhiODg2NmY3NWVhXkEyXkFqcGc@._V1_QL75_UX210_CR0,1,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BZDI3MjZhMmEtNWU4Ny00ZGQwLThiNWEtODhiODg2NmY3NWVhXkEyXkFqcGc@._V1_QL75_UX280_CR0,1,280,414_.jpg 280w"
11259, Mugamoodi,No Year,No Duration,No Age Rating,"5,1"," (1,4 mil)",No Metascore,"A hopeless young man uses his ""Kung-fu"" skills and mask to tackle a bank robbery group without revealing his identity.",https://www.imdb.com//title/tt2367996/?ref_=sr_t_11259,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BNWExMjVkOWUtMjhlZC00YTY5LTkxYTQtZmU2YmQzMTA4NzJhXkEyXkFqcGc@._V1_QL75_UY207_CR16,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BNWExMjVkOWUtMjhlZC00YTY5LTkxYTQtZmU2YmQzMTA4NzJhXkEyXkFqcGc@._V1_QL75_UY207_CR16,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BNWExMjVkOWUtMjhlZC00YTY5LTkxYTQtZmU2YmQzMTA4NzJhXkEyXkFqcGc@._V1_QL75_UY311_CR24,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BNWExMjVkOWUtMjhlZC00YTY5LTkxYTQtZmU2YmQzMTA4NzJhXkEyXkFqcGc@._V1_QL75_UY414_CR32,0,280,414_.jpg 280w"
11260, Pardesi Babu,No Year,No Duration,No Age Rating,"5,1", (524),No Metascore,"Raju Pardesi lives a poor lifestyle in a village with his cruel stepmother and decides to relocate to Mumbai to better his life. Upon arrival he is received by his friend, Happy Singh, who arranges for his accommodation with stern landlady Mai. Raju likes to help people, so much so that he even loses to a professional wrestler so he can use the money to help others. One day he returns to his room and finds it occupied by a runaway bride, Chinni Chopra, who refuses to marry Narendra, the man her dad has chosen for her. Eventually Raju and Chinni fall in love, much to the chagrin of Mr. Chopra, who meets with Raju and asks him to accumulate one Crore rupees in one year and then only can he marry Chinni. Raju accepts the challenge and leaves. Nearing the year's end Chinni receives Raju's letter that he has been able to accumulate the stipulated amount and he is returning to Mumbai for their marriage. But Raju does not arrive and she does not hear from him again. She travels to Darjeeling to look for him and she finds him--marrying another woman, Karuna.Chinni will also find out that Raju did not earn this money--he stole it. Mr. Chopra will also arrives and accuses Raju of using Chinni to steal 5 Crore rupees from him. Where did Raju get the money? Why is he marrying Karuna?",https://www.imdb.com//title/tt0119862/?ref_=sr_t_11260,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BYzAxNDY1N2UtYTVmNC00NDk5LWJmOTctYzQzYzExNzViNDU5XkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BYzAxNDY1N2UtYTVmNC00NDk5LWJmOTctYzQzYzExNzViNDU5XkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BYzAxNDY1N2UtYTVmNC00NDk5LWJmOTctYzQzYzExNzViNDU5XkEyXkFqcGc@._V1_QL75_UY311_CR3,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BYzAxNDY1N2UtYTVmNC00NDk5LWJmOTctYzQzYzExNzViNDU5XkEyXkFqcGc@._V1_QL75_UY414_CR4,0,280,414_.jpg 280w"
11261, Zapatlela 2,No Year,No Duration,No Age Rating,"5,1", (146),No Metascore,"Tatya Vinchu comes back to life after 20 years, and now wants to migrate into the body of Lakshya's son.",https://www.imdb.com//title/tt3319518/?ref_=sr_t_11261,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMTk1YzhkYzUtYmNhZi00Njc3LTk5OGQtMjE2NjM5NDE5MTQ0XkEyXkFqcGc@._V1_QL75_UX140_CR0,5,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMTk1YzhkYzUtYmNhZi00Njc3LTk5OGQtMjE2NjM5NDE5MTQ0XkEyXkFqcGc@._V1_QL75_UX140_CR0,5,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMTk1YzhkYzUtYmNhZi00Njc3LTk5OGQtMjE2NjM5NDE5MTQ0XkEyXkFqcGc@._V1_QL75_UX210_CR0,8,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMTk1YzhkYzUtYmNhZi00Njc3LTk5OGQtMjE2NjM5NDE5MTQ0XkEyXkFqcGc@._V1_QL75_UX280_CR0,11,280,414_.jpg 280w"
11262, Stand Up Rahul,No Year,No Duration,No Age Rating,"5,1", (984),No Metascore,"A feel-good romance comedy about a reluctant startup employee who doesn't stand up for anything in life, finally finding true love and learning to stand up for his parents, for his love and for his passion for stand-up comedy",https://www.imdb.com//title/tt14806338/?ref_=sr_t_11262,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BN2UzY2VmMmMtYTUzMy00Njc0LWEzZjUtOTI0M2U2OWJjYmJmXkEyXkFqcGc@._V1_QL75_UY207_CR34,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BN2UzY2VmMmMtYTUzMy00Njc0LWEzZjUtOTI0M2U2OWJjYmJmXkEyXkFqcGc@._V1_QL75_UY207_CR34,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BN2UzY2VmMmMtYTUzMy00Njc0LWEzZjUtOTI0M2U2OWJjYmJmXkEyXkFqcGc@._V1_QL75_UY311_CR50,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BN2UzY2VmMmMtYTUzMy00Njc0LWEzZjUtOTI0M2U2OWJjYmJmXkEyXkFqcGc@._V1_QL75_UY414_CR67,0,280,414_.jpg 280w"
11263, Raju Gari Gadhi,No Year,No Duration,No Age Rating,"5,1", (316),No Metascore,There is a haunted house in Nandigama. Dead bodies of 34 people resurface in house's well over a period of time. A TV channel plans to host a reality show in that haunted house.,https://www.imdb.com//title/tt5457570/?ref_=sr_t_11263,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMzExNTM1OTctZWZmOC00ODk1LTlhYTUtNjlkOWM3NDQ1OGI5XkEyXkFqcGc@._V1_QL75_UY207_CR136,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMzExNTM1OTctZWZmOC00ODk1LTlhYTUtNjlkOWM3NDQ1OGI5XkEyXkFqcGc@._V1_QL75_UY207_CR136,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMzExNTM1OTctZWZmOC00ODk1LTlhYTUtNjlkOWM3NDQ1OGI5XkEyXkFqcGc@._V1_QL75_UY311_CR204,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMzExNTM1OTctZWZmOC00ODk1LTlhYTUtNjlkOWM3NDQ1OGI5XkEyXkFqcGc@._V1_QL75_UY414_CR272,0,280,414_.jpg 280w"
11264, Elaan,No Year,No Duration,No Age Rating,"5,1", (951),No Metascore,"When ACP Ramakant's elder son is killed, his attempts to find justice the legal way meet little success. His younger son, Vishal, decides to take the law into his own hands.",https://www.imdb.com//title/tt0290183/?ref_=sr_t_11264,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BYjg0MzQ3NGUtMGE0ZC00MzUxLWE3MjgtNjcwZjQ0YmIwNDhiXkEyXkFqcGc@._V1_QL75_UY207_CR5,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BYjg0MzQ3NGUtMGE0ZC00MzUxLWE3MjgtNjcwZjQ0YmIwNDhiXkEyXkFqcGc@._V1_QL75_UY207_CR5,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BYjg0MzQ3NGUtMGE0ZC00MzUxLWE3MjgtNjcwZjQ0YmIwNDhiXkEyXkFqcGc@._V1_QL75_UY311_CR6,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BYjg0MzQ3NGUtMGE0ZC00MzUxLWE3MjgtNjcwZjQ0YmIwNDhiXkEyXkFqcGc@._V1_QL75_UY414_CR9,0,280,414_.jpg 280w"
